Unnamed: 0,Player,Team(s),Mat,Overs,Mdns,Runs,Wkts,Avg,Best,E/R,S/R,4w
27,Y K Pathan,"RRO, KKR, SUN",174.0,189.1,1.0,1387.0,42.0,33.02,3/20,7.33,27.02,0.0
28,Washington Sundar,"RPS, RCB, SUN",58.0,170.4,1.0,1252.0,36.0,34.78,3/16,7.34,28.44,0.0
29,P P Ojha,"DCH, MIN",92.0,316.3,1.0,2332.0,89.0,26.2,3/11,7.37,21.34,0.0
30,A Mishra,"DDV, DCH, SUN, LSG",161.0,559.5,6.0,4129.0,173.0,23.87,5/17,7.38,19.42,5.0
31,J-P Duminy,"MIN, DCH, DDV",83.0,113.0,0.0,834.0,23.0,36.26,4/17,7.38,29.48,1.0
32,B Kumar,"PWI, SUN",160.0,594.4,11.0,4396.0,170.0,25.86,5/19,7.39,20.99,4.0
33,J J Bumrah,MIN,120.0,457.0,7.0,3380.0,145.0,23.31,5/10,7.4,18.91,3.0
34,S K Raina,"CSK, GUJ",205.0,154.2,0.0,1145.0,25.0,45.8,2/0,7.42,37.04,0.0
35,R R Powar,"KXI, KTK",27.0,71.0,0.0,527.0,13.0,40.54,2/11,7.42,32.77,0.0
36,M F Maharoof,DDV,20.0,70.0,0.0,520.0,27.0,19.26,3/34,7.43,15.56,0.0
37,D P Nannes,"DDV, RCB, CSK",29.0,107.3,1.0,799.0,28.0,28.54,3/27,7.43,23.04,0.0
38,J C Archer,"RRO, MIN",40.0,157.3,2.0,1171.0,48.0,24.4,3/15,7.43,19.69,0.0
39,Shakib Al Hasan,"KKR, SUN",71.0,247.2,1.0,1839.0,63.0,29.19,3/17,7.44,23.56,0.0
40,Yuvraj Singh,"KXI, PWI, RCB, DDV, SUN, MIN",132.0,144.5,0.0,1077.0,36.0,29.92,4/29,7.44,24.14,2.0
41,C V Varun,"KXI, KKR",56.0,214.4,1.0,1600.0,62.0,25.81,5/20,7.45,20.77,2.0
42,G B Hogg,"RRO, KKR",21.0,76.2,1.0,570.0,23.0,24.78,4/29,7.47,19.91,1.0
43,B Lee,"KXI, KKR",38.0,145.5,3.0,1095.0,25.0,43.8,3/15,7.51,35.0,0.0
44,M M Patel,"RRO, MIN, GUJ",63.0,225.5,5.0,1698.0,74.0,22.95,5/21,7.52,18.31,3.0
45,R J Harris,"DCH, KXI",37.0,138.4,3.0,1047.0,45.0,23.27,4/34,7.55,18.49,1.0
46,R D Chahar,"RPS, MIN, KXI",69.0,246.2,1.0,1862.0,65.0,28.65,4/27,7.56,22.74,1.0
47,S Nadeem,"DDV, SUN",72.0,235.5,2.0,1784.0,48.0,37.17,3/16,7.56,29.48,0.0
48,S K  Trivedi,RRO,76.0,251.0,2.0,1904.0,65.0,29.29,4/25,7.59,23.17,1.0
49,Z Khan,"RCB, MIN, DDV",100.0,366.4,5.0,2782.0,102.0,27.27,4/17,7.59,21.57,1.0
50,Ravi Bishnoi,"KXI, LSG",52.0,191.3,1.0,1453.0,53.0,27.42,3/24,7.59,21.68,0.0
51,R A Jadeja,"RRO, KTK, CSK, GUJ",226.0,591.1,2.0,4495.0,152.0,29.57,5/16,7.6,23.34,4.0
52,S T R Binny,"MIN, RRO, RCB",95.0,99.0,0.0,758.0,22.0,34.45,2/14,7.66,27.0,0.0
53,Y S Chahal,"MIN, RCB, RRO",145.0,528.5,4.0,4056.0,187.0,21.69,5/40,7.67,16.97,7.0
54,A Symonds,"DCH, MIN",39.0,87.5,0.0,674.0,20.0,33.7,3/21,7.67,26.35,0.0
55,I C Pandey,"PWI, CSK",25.0,77.0,4.0,591.0,18.0,32.83,2/23,7.68,25.67,0.0
56,M Morkel,"RRO, DDV, KKR",70.0,271.3,3.0,2089.0,77.0,27.13,4/20,7.69,21.16,1.0
57,N M Coulter-Nile,"MIN, DDV, KKR, RRO",39.0,142.5,1.0,1100.0,48.0,22.92,4/14,7.7,17.85,2.0
58,B W Hilfenhaus,CSK,17.0,62.0,2.0,479.0,22.0,21.77,3/27,7.73,16.91,0.0
59,P Kumar,"RCB, KXI, MIN, SUN, GUJ",119.0,420.4,14.0,3251.0,90.0,36.12,3/18,7.73,28.04,0.0
60,No. of Records = 60,,,,,,,,,,,
